Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14115775,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR09,REBEL 64DR09,1804,PSC,PSC# BILLIT SILVER 2019+,30,3C6UR5MJQNG115570,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TAILGATE 2009 DODGE DC
14116618,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 69FS17,REBEL 69FS17,2104,HX ,HX ANTIMATTER BLUE,30,,WINDOOR SLIDER 64X14 15D DS,WINDOOR SLIDER 64X14 15D PS,WINDOOR HANDLE PRM( ) 1-1/2IN,,FORD SUPER DUTY 2017
14117793,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 58GSA19,REBEL 58GSA19,2086,50,50 OLYMPIC WHITE WA8624 B8550,30,,WINDOOR SLIDER 14X60X15DEG,WINDOOR SLIDER 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,TAILGATE RUBBER BUMPER-TG
14117796,SNUGTOP BRAND PRODUCT,SNUGTOP XTRA VISION,XTRA VISION 64DRQC09,REBEL 64DRQC09,1793,PXR,PXR BRILL BLACK CRYSTAL P2235,20,,CRS/SS 16-3/8X68-11/16,CRS/SS 16-3/8X68-11/16,TG/SL LIFT TAB-BLK E-COAT,,TAILGATE 2009 DODGE DC
14117799,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 55TT,REBEL 55TT,1722,1D6,1D6 SILVERSKY PM M9912,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOOR SLIDER 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,23037 FIBERGLASS TG PIECE,04 FORD DC SB
14117800,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 62TCDC16,SPORT HI LINER 62TCDC16,2339,3R3,3R3 BARCELONA RED EFF,30,,WINDOOR SLIDER 14X60X15DEG,WINDOOR SLIDER 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,TOYOTA TACOMA 2016 SHL
14117802,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,6X3,6X3 LUNAR ROCK,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14117803,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 67GA20-H,REBEL 67GA20-H,2514,GB8,GB8 EBONY TWLGHT METALLIC 384A,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK REMOTE KIT,DOORSKIRT GS20-H REBEL,TAILGATE RUBBER BUMPER-TG
14117804,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 62TCDC16,SPORT HI LINER 62TCDC16,2339,1H5,1H5 CEMENT GREY EFFECT,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016 SHL
14117841,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 67GO20-H,REBEL 67GO20H,2091,50,50 OLYMPIC WHITE WA8624 B8550,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,DOORSKIRT GS20-H REBEL,TAILGATE RUBBER BUMPER-TG
14120326,LEER BRAND PRODUCT,LEER 100XL,100XL 67GA20-H,Blank,2810267,,,20,,,,,,
14120367,LEER BRAND PRODUCT,LEER 100XR,100XR 66GSO19,100XL 66GSO19,2606,GA0,GA0 NORTHSKY BLUE MTLLC WA619D,30,1GCUYGED9NZ149685,RW 6715 25 DS DT,RW 6715 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL GS19,RGL DOOR 63X16X20 GS19
14120371,LEER BRAND PRODUCT,LEER 100XL,100XL 64DR09,100XL 64DR09,2579,PAI,PAINT COLOR/CODE,30,*NONE,FLIPPER VNT 6814 1027 R2.56 DS,FLIPPER VNT 6814 1027 R2.56 PS,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XR DR09,RGL DOOR 62X20X17 09+ RAM TH
14125498,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,8T6,8T6 VOODOO BLUE,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2016
14126234,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 66TTDC14,REBEL 66TTDC14,1869,218,218 ATTITUDE BLACK,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TUNDRA 2014 TG WINDOW
